name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"pop_count","push_count"
"MpmcBenchmark<BoostAdapter<int>>/threads:2",2799360,99.4109,198.822,ns,,,,,,918319,1.39968e+06
"MpmcBenchmark<BoostAdapter<int>>/threads:4",1241872,125.81,502.732,ns,,,,,,424091,620936
"MpmcBenchmark<BoostAdapter<int>>/threads:6",764886,112.017,669.019,ns,,,,,,183247,382443
"MpmcBenchmark<BoostAdapter<int>>/threads:8",523720,146.811,1174.49,ns,,,,,,261720,261860
"MpmcBenchmark<BoostAdapter<int>>/threads:10",954910,92.3299,923.296,ns,,,,,,230601,477455
"MpmcBenchmark<BoostAdapter<int>>/threads:12",479520,111.58,1324.82,ns,,,,,,124187,239760
"MpmcBenchmark<BoostAdapter<int>>/threads:14",445550,141.868,1979.04,ns,,,,,,207340,222775
"MpmcBenchmark<BoostAdapter<int>>/threads:16",523408,101.716,1553.94,ns,,,,,,125635,261704
"MpmcBenchmark<BoostAdapter<int>>/threads:18",538740,88.9746,1589.85,ns,,,,,,106823,269370
"MpmcBenchmark<BoostAdapter<int>>/threads:20",486640,86.6889,1670.04,ns,,,,,,106359,243320
"MpmcBenchmark<BoostAdapter<int>>/threads:22",422752,72.2852,1548.86,ns,,,,,,143265,211376
"MpmcBenchmark<BoostAdapter<int>>/threads:24",418128,71.866,1666.89,ns,,,,,,137457,209064
"MpmcBenchmark<BoostAdapter<int>>/threads:26",406068,67.1923,1673.58,ns,,,,,,136307,203034
"MpmcBenchmark<BoostAdapter<int>>/threads:28",280000,66.2671,1819.22,ns,,,,,,95372,140000
"MpmcBenchmark<BoostAdapter<int>>/threads:30",429750,59.1419,1688.07,ns,,,,,,157632,214875
"MpmcBenchmark<BoostAdapter<int>>/threads:32",320000,51.7067,1578.46,ns,,,,,,126980,160000
"MpmcBenchmark<CasQueue<int>>/threads:2",5060762,179.771,359.536,ns,,,,,,2.53038e+06,2.53038e+06
"MpmcBenchmark<CasQueue<int>>/threads:4",1166724,196.839,787.353,ns,,,,,,583299,583362
"MpmcBenchmark<CasQueue<int>>/threads:6",626046,149.493,896.952,ns,,,,,,157755,313023
"MpmcBenchmark<CasQueue<int>>/threads:8",292440,215.411,1723.28,ns,,,,,,144370,146220
"MpmcBenchmark<CasQueue<int>>/threads:10",398770,252.324,2523.14,ns,,,,,,190987,199385
"MpmcBenchmark<CasQueue<int>>/threads:12",281400,187.717,2252.17,ns,,,,,,138567,140700
"MpmcBenchmark<CasQueue<int>>/threads:14",279916,149.096,2082.47,ns,,,,,,67342,139958
"MpmcBenchmark<CasQueue<int>>/threads:16",160000,231.354,3619.44,ns,,,,,,77122,80000
"MpmcBenchmark<CasQueue<int>>/threads:18",180000,173.494,2997.96,ns,,,,,,83971,90000
"MpmcBenchmark<CasQueue<int>>/threads:20",200000,186.183,3582.9,ns,,,,,,89784,100000
"MpmcBenchmark<CasQueue<int>>/threads:22",220000,206.429,4271.42,ns,,,,,,104841,110000
"MpmcBenchmark<CasQueue<int>>/threads:24",240000,190.237,4254.04,ns,,,,,,108509,120000
"MpmcBenchmark<CasQueue<int>>/threads:26",307762,188.003,4563.69,ns,,,,,,145892,153881
"MpmcBenchmark<CasQueue<int>>/threads:28",346472,167.412,4356,ns,,,,,,160194,173236
"MpmcBenchmark<CasQueue<int>>/threads:30",275880,160.875,4658.85,ns,,,,,,136900,137940
"MpmcBenchmark<CasQueue<int>>/threads:32",384192,169.122,4810.92,ns,,,,,,184892,192096
"MpmcBenchmark<FineLockQueue<int>>/threads:2",6504650,66.394,132.788,ns,,,,,,834833,3.25232e+06
"MpmcBenchmark<FineLockQueue<int>>/threads:4",1170788,186.15,740.911,ns,,,,,,584864,585394
"MpmcBenchmark<FineLockQueue<int>>/threads:6",694074,161.355,924.951,ns,,,,,,346362,347037
"MpmcBenchmark<FineLockQueue<int>>/threads:8",430544,187.251,1395.45,ns,,,,,,214927,215272
"MpmcBenchmark<FineLockQueue<int>>/threads:10",352890,203.805,1879.8,ns,,,,,,176263,176445
"MpmcBenchmark<FineLockQueue<int>>/threads:12",293244,200.105,2195.57,ns,,,,,,146424,146622
"MpmcBenchmark<FineLockQueue<int>>/threads:14",278082,195.872,2510.21,ns,,,,,,138775,139041
"MpmcBenchmark<FineLockQueue<int>>/threads:16",255392,185.125,2717.46,ns,,,,,,127471,127696
"MpmcBenchmark<FineLockQueue<int>>/threads:18",261378,183.675,2790.43,ns,,,,,,130459,130689
"MpmcBenchmark<FineLockQueue<int>>/threads:20",260080,186.088,2917.76,ns,,,,,,129830,130040
"MpmcBenchmark<FineLockQueue<int>>/threads:22",247412,182.656,2952.19,ns,,,,,,123498,123706
"MpmcBenchmark<FineLockQueue<int>>/threads:24",222336,194.685,3249.46,ns,,,,,,110968,111168
"MpmcBenchmark<FineLockQueue<int>>/threads:26",217048,192.327,3329.56,ns,,,,,,108334,108524
"MpmcBenchmark<FineLockQueue<int>>/threads:28",234388,174.989,3132.06,ns,,,,,,116997,117194
"MpmcBenchmark<FineLockQueue<int>>/threads:30",212280,193.54,3549.29,ns,,,,,,105923,106140
"MpmcBenchmark<FineLockQueue<int>>/threads:32",216064,182.685,3504.74,ns,,,,,,107842,108032
"MpmcBenchmark<LockQueue<int>>/threads:2",949704,424.647,848.307,ns,,,,,,474748,474852
"MpmcBenchmark<LockQueue<int>>/threads:4",778876,346.108,1266.87,ns,,,,,,233872,389438
"MpmcBenchmark<LockQueue<int>>/threads:6",253806,443.107,2360.12,ns,,,,,,112126,126903
"MpmcBenchmark<LockQueue<int>>/threads:8",226472,376.79,2623.41,ns,,,,,,76848,113236
"MpmcBenchmark<LockQueue<int>>/threads:10",192430,469.859,4015.38,ns,,,,,,94784,96215
"MpmcBenchmark<LockQueue<int>>/threads:12",120000,427.473,4553.38,ns,,,,,,49012,60000
"MpmcBenchmark<LockQueue<int>>/threads:14",131026,426.821,5522.06,ns,,,,,,57771,65513
"MpmcBenchmark<LockQueue<int>>/threads:16",113328,428.093,6358.17,ns,,,,,,47265,56664
"MpmcBenchmark<LockQueue<int>>/threads:18",103122,442.307,6540.52,ns,,,,,,44985,51561
"MpmcBenchmark<LockQueue<int>>/threads:20",102440,454.228,6796.42,ns,,,,,,44103,51220
"MpmcBenchmark<LockQueue<int>>/threads:22",113872,425.605,6530.54,ns,,,,,,46693,56936
"MpmcBenchmark<LockQueue<int>>/threads:24",100488,417.464,6651.47,ns,,,,,,39209,50244
"MpmcBenchmark<LockQueue<int>>/threads:26",99294,430.751,6917.45,ns,,,,,,40904,49647
"MpmcBenchmark<LockQueue<int>>/threads:28",102200,413.655,6818.29,ns,,,,,,40880,51100
"MpmcBenchmark<LockQueue<int>>/threads:30",99030,433.566,6846.23,ns,,,,,,38999,49515
"MpmcBenchmark<LockQueue<int>>/threads:32",97760,426.67,7172.42,ns,,,,,,39040,48880
"MpmcBenchmark<RtmQueue<int>>/threads:2",5775754,66.4257,132.849,ns,,,,,,583039,2.88788e+06
"MpmcBenchmark<RtmQueue<int>>/threads:4",1025072,137.581,550.029,ns,,,,,,272249,512536
"MpmcBenchmark<RtmQueue<int>>/threads:6",741420,137.462,802.988,ns,,,,,,281374,370710
"MpmcBenchmark<RtmQueue<int>>/threads:8",684480,114.633,864.726,ns,,,,,,178912,342240
"MpmcBenchmark<RtmQueue<int>>/threads:10",445980,152.364,1422.72,ns,,,,,,222482,222990
"MpmcBenchmark<RtmQueue<int>>/threads:12",394692,150.085,1664.83,ns,,,,,,196776,197346
"MpmcBenchmark<RtmQueue<int>>/threads:14",340886,154.75,1995.5,ns,,,,,,169682,170443
"MpmcBenchmark<RtmQueue<int>>/threads:16",296000,162.373,2366.53,ns,,,,,,145423,148000
"MpmcBenchmark<RtmQueue<int>>/threads:18",297918,161.131,2408.48,ns,,,,,,148443,148959
"MpmcBenchmark<RtmQueue<int>>/threads:20",305520,152.645,2330.04,ns,,,,,,152209,152760
"MpmcBenchmark<RtmQueue<int>>/threads:22",301048,154.182,2350.94,ns,,,,,,139420,150524
"MpmcBenchmark<RtmQueue<int>>/threads:24",313032,151.651,2338.33,ns,,,,,,155718,156516
"MpmcBenchmark<RtmQueue<int>>/threads:26",309634,154.272,2412.11,ns,,,,,,153977,154817
"MpmcBenchmark<RtmQueue<int>>/threads:28",303268,151.218,2435.25,ns,,,,,,149893,151634
"MpmcBenchmark<RtmQueue<int>>/threads:30",296970,148.39,2451.15,ns,,,,,,148009,148485
"MpmcBenchmark<RtmQueue<int>>/threads:32",313792,155.597,2530.21,ns,,,,,,155152,156896
