name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"pop_count","push_count"
"MpmcBenchmark<BoostAdapter<int>>/threads:2",1862284,139.608,279.215,ns,,,,,,925027,931142
"MpmcBenchmark<BoostAdapter<int>>/threads:4",1364676,108.062,431.644,ns,,,,,,374872,682338
"MpmcBenchmark<BoostAdapter<int>>/threads:6",994062,132.411,794.414,ns,,,,,,252317,497031
"MpmcBenchmark<BoostAdapter<int>>/threads:8",565024,121.114,968.911,ns,,,,,,139349,282512
"MpmcBenchmark<BoostAdapter<int>>/threads:10",518470,100.624,1006.24,ns,,,,,,106396,259235
"MpmcBenchmark<BoostAdapter<int>>/threads:12",616500,119.082,1428.93,ns,,,,,,231560,308250
"MpmcBenchmark<BoostAdapter<int>>/threads:14",456526,104.974,1467.63,ns,,,,,,146507,228263
"MpmcBenchmark<BoostAdapter<int>>/threads:16",476064,98.4099,1504.1,ns,,,,,,110039,238032
"MpmcBenchmark<BoostAdapter<int>>/threads:18",437238,101.878,1791.31,ns,,,,,,126677,218619
"MpmcBenchmark<BoostAdapter<int>>/threads:20",565840,93.1685,1754.18,ns,,,,,,152692,282920
"MpmcBenchmark<BoostAdapter<int>>/threads:22",507848,87.8236,1889.1,ns,,,,,,127329,253924
"MpmcBenchmark<BoostAdapter<int>>/threads:24",438888,68.1376,1577.54,ns,,,,,,128835,219444
"MpmcBenchmark<BoostAdapter<int>>/threads:26",403234,60.1105,1501.05,ns,,,,,,116596,201617
"MpmcBenchmark<BoostAdapter<int>>/threads:28",474180,63.1187,1679.48,ns,,,,,,176980,237090
"MpmcBenchmark<BoostAdapter<int>>/threads:30",300000,61.7904,1774.71,ns,,,,,,115980,150000
"MpmcBenchmark<BoostAdapter<int>>/threads:32",320000,57.3842,1792.09,ns,,,,,,132426,160000
"MpmcBenchmark<CasQueue<int>>/threads:2",5168616,109.838,219.671,ns,,,,,,1.33133e+06,2.58431e+06
"MpmcBenchmark<CasQueue<int>>/threads:4",1182744,233.832,935.313,ns,,,,,,591326,591372
"MpmcBenchmark<CasQueue<int>>/threads:6",539286,247.272,1483.57,ns,,,,,,269643,269643
"MpmcBenchmark<CasQueue<int>>/threads:8",279760,242.894,1943.15,ns,,,,,,139879,139880
"MpmcBenchmark<CasQueue<int>>/threads:10",295840,314.641,3146.39,ns,,,,,,147920,147920
"MpmcBenchmark<CasQueue<int>>/threads:12",120000,358.077,4290.48,ns,,,,,,48485,60000
"MpmcBenchmark<CasQueue<int>>/threads:14",193284,230.27,3223.6,ns,,,,,,72467,96642
"MpmcBenchmark<CasQueue<int>>/threads:16",210016,197.139,3082.81,ns,,,,,,71908,105008
"MpmcBenchmark<CasQueue<int>>/threads:18",180000,194.268,3404.07,ns,,,,,,70198,90000
