name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"pop_count","push_count"
"MpmcBenchmark<BoostAdapter<int>>/threads:2",3281492,84.4185,168.836,ns,,,,,,927799,1.64075e+06
"MpmcBenchmark<BoostAdapter<int>>/threads:4",1907564,100.347,401.371,ns,,,,,,521368,953782
"MpmcBenchmark<BoostAdapter<int>>/threads:6",750648,151.763,910.52,ns,,,,,,373983,375324
"MpmcBenchmark<BoostAdapter<int>>/threads:8",757008,105.83,846.637,ns,,,,,,214404,378504
"MpmcBenchmark<BoostAdapter<int>>/threads:10",677100,95.7737,957.731,ns,,,,,,160216,338550
"MpmcBenchmark<BoostAdapter<int>>/threads:12",560832,100.951,1203.77,ns,,,,,,130459,280416
"MpmcBenchmark<BoostAdapter<int>>/threads:14",499576,116.528,1627.46,ns,,,,,,172482,249788
"MpmcBenchmark<BoostAdapter<int>>/threads:16",554864,95.2528,1482.18,ns,,,,,,143910,277432
"MpmcBenchmark<BoostAdapter<int>>/threads:18",511632,92.5913,1621.35,ns,,,,,,139737,255816
"MpmcBenchmark<BoostAdapter<int>>/threads:20",400180,88.1569,1681.36,ns,,,,,,141091,200090
"MpmcBenchmark<BoostAdapter<int>>/threads:22",529298,85.0681,1746.37,ns,,,,,,164981,264649
"MpmcBenchmark<BoostAdapter<int>>/threads:24",545112,66.1586,1543.1,ns,,,,,,170875,272556
"MpmcBenchmark<BoostAdapter<int>>/threads:26",488072,69.8357,1735.3,ns,,,,,,171328,244036
"MpmcBenchmark<BoostAdapter<int>>/threads:28",441532,64.2406,1757.56,ns,,,,,,132015,220766
"MpmcBenchmark<BoostAdapter<int>>/threads:30",430860,61.1914,1785.24,ns,,,,,,144325,215430
"MpmcBenchmark<BoostAdapter<int>>/threads:32",477664,59.6025,1854.03,ns,,,,,,167061,238832
"MpmcBenchmark<CasQueue<int>>/threads:2",2000000,179.873,359.745,ns,,,,,,999998,1e+06
"MpmcBenchmark<CasQueue<int>>/threads:4",1048868,186.954,747.812,ns,,,,,,524238,524434
"MpmcBenchmark<CasQueue<int>>/threads:6",733716,150.304,901.824,ns,,,,,,360699,366858
"MpmcBenchmark<CasQueue<int>>/threads:8",493664,189.708,1517.48,ns,,,,,,240944,246832
"MpmcBenchmark<CasQueue<int>>/threads:10",448630,207.674,2076.67,ns,,,,,,218127,224315
"MpmcBenchmark<CasQueue<int>>/threads:12",366408,203.362,2438.06,ns,,,,,,175046,183204
"MpmcBenchmark<CasQueue<int>>/threads:14",298158,187.646,2578.07,ns,,,,,,130836,149079
"MpmcBenchmark<CasQueue<int>>/threads:16",262832,144.305,2264.48,ns,,,,,,84499,131416
"MpmcBenchmark<CasQueue<int>>/threads:18",334296,197.903,3510.59,ns,,,,,,145740,167148
"MpmcBenchmark<CasQueue<int>>/threads:20",284640,128.633,2542.55,ns,,,,,,104757,142320
"MpmcBenchmark<CasQueue<int>>/threads:22",220000,125.543,2728.96,ns,,,,,,88706,110000
"MpmcBenchmark<CasQueue<int>>/threads:24",240000,168.193,3894.42,ns,,,,,,104174,120000
